item_name,state,latest_price,price_change,highest_price,lowest_price,item_group
DADA AYAM (CHICKEN KEEL) (1KG),Sarawak,13.09018987,0.03576954,13.7785,12.04151261,1
DADA AYAM (CHICKEN KEEL) (1KG),Selangor,14.36543629,-0.145487483,15.9978757,14.36543629,1
DADA AYAM (CHICKEN KEEL) (1KG),Terengganu,14.89499037,0.03441416,16.95536937,13.78745257,1
DADA AYAM (CHICKEN KEEL) (1KG),W.P. Kuala Lumpur,14.53948419,-0.059800713,16.48320236,14.30493485,1
DADA AYAM (CHICKEN KEEL) (1KG),W.P. Labuan,14.5,0,15.5,12.5,1
DADA AYAM (CHICKEN KEEL) (1KG),W.P. Putrajaya,14.1862987,-0.144487636,16.59287037,13.82811189,1
DAGING LEMBU TEMPATAN BAHAGIAN DAGING PAHA (KECUALI BATANG PINANG - TENDER ONLY),Johor,41.02620253,0.071531018,41.055,36.05235849,1
DAGING LEMBU TEMPATAN BAHAGIAN DAGING PAHA (KECUALI BATANG PINANG - TENDER ONLY),Kedah,38.73793103,0.007040831,39.37709497,37.45747126,1
DAGING LEMBU TEMPATAN BAHAGIAN DAGING PAHA (KECUALI BATANG PINANG - TENDER ONLY),Kelantan,32.99040767,-0.124961909,33.41952984,32.91782946,1
DAGING LEMBU TEMPATAN BAHAGIAN DAGING PAHA (KECUALI BATANG PINANG - TENDER ONLY),Melaka,40.04848485,-0.10341715,40.25531915,36.10638298,1
DAGING LEMBU TEMPATAN BAHAGIAN DAGING PAHA (KECUALI BATANG PINANG - TENDER ONLY),Negeri Sembilan,40.55833333,-0.113995726,41.48314607,36.48309179,1
DAGING LEMBU TEMPATAN BAHAGIAN DAGING PAHA (KECUALI BATANG PINANG - TENDER ONLY),Pahang,38.1509434,-0.061174265,38.44692737,34.01129944,1
DAGING LEMBU TEMPATAN BAHAGIAN DAGING PAHA (KECUALI BATANG PINANG - TENDER ONLY),Perak,36.82044888,0.059107814,37.51522843,34.50118203,1
DAGING LEMBU TEMPATAN BAHAGIAN DAGING PAHA (KECUALI BATANG PINANG - TENDER ONLY),Perlis,33.80851064,-0.345744681,38.97560976,33.80851064,1
